username	lastname	firstname	party	constituency	followers	friends	tweets
paulinegalway	O'Reilly	Pauline	Green Party	Galway West	1805	2081	4079
paulmcauliffe	McAuliffe	Paul	Fianna Fail	Dublin North West	4486	3504	7686
paulmulv	Mulville	Paul	Social Democrats	Dublin Fingal	693	1359	4725
pearsedoherty	Doherty	Pearse	Sinn Fein	Donegal	36048	847	8322
peterburkefg	Burke	Peter	Fine Gael	Longford Westmeath	1670	505	1941
peterkinvara	Reid	Peter	Social Democrats	Galway East	639	1419	13301
pippa_hackett	Hackett	Pippa	Green Party	Laois Offaly	3283	1278	4959
podonovan	O'Donovan	Patrick	Fine Gael	Limerick County	5934	1094	4589
quinlivantd	Quinlivan	Maurice	Sinn Fein	Limerick City	5009	1310	13474
readacronin	Cronin	Reada	Sinn Fein	Kildare North	7586	5356	124896
rebeccamoy	Moynihan	Rebecca	Labour	Dublin South Central	5048	2539	4402
reginado	Doherty	Regina	Fine Gael	Meath East	17341	1463	17307
richardbrutontd	Bruton	Richard	Fine Gael	Dublin Bay North	25926	339	4408
rita_mcinerney	McInerney	Rita	Fianna Fail	Clare	672	1487	
roberttroytd	Troy	Robert	Fianna Fail	Longford Westmeath	5810	1633	2436
robodonnellgp	O'Donnell	Rob	Green Party	Tipperary	837	458	332
rodericogorman	O'Gorman	Roderic	Green Party	Dublin West	4667	2804	7357
roisingarvey	Garvey	Roisin	Green Party	Clare	1059	673	1151
roisinshortall	Shortall	Roisin	Social Democrats	Dublin North West	14053	265	1828
romurchu	Ó Murchu	Ruairí	Sinn Fein	Louth	779	247	1152
ronanmaher	Maher	Ronan	Green Party	Kildare South	205	150	555
ronanmooresocd	Moore	Ronan	Social Democrats	Meath West	467	341	697
ryan_patricia	Ryan	Patricia	Sinn Fein	Kildare South	734	1701	1423
sandramcintrye	McIntyre	Sandra	Fine Gael	Cavan Monaghan	273	179	526
sandramurphy999	Murphy	Sandra	Fianna Fail	Cork North Central	8073	4286	46506
saoirse_mchugh	McHugh	Saoirse	Green Party	Mayo	17768	1199	1269
sarahdurcan	Durcan	Sarah	Social Democrats	Dublin Bay South	1700	1696	2577
sarahreillyfg	Reilly	Sarah	Fine Gael	Meath West	270	374	113
seamusmcmenamin	McMenamin	Seamus	Green Party	Meath West	1034	2223	4169
sean_haughey	Haughey	Sean	Fianna Fail	Dublin Bay North	2840	280	3320
seancrowetd	Crowe	Sean	Sinn Fein	Dublin South West	4606	726	5348
seanflemingtd	Fleming	Sean	Fianna Fail	Laois Offaly	1115	405	198
